,Gene,Druggable Family
0,HPN,No
1,TPO,Yes
2,CRYGC,No
3,AOX1,Yes
4,HTR6,Yes
5,ESR1,Yes
6,SLCO1B3,No
7,MAP2K5,Yes
8,GABRA1,Yes
9,CACNA1I,Yes
10,STK16,Yes
11,ACVR1B,Yes
12,CSNK1E,Yes
13,NQO2,Yes
14,RGS17,No
15,GPR35,Yes
16,NLK,Yes
17,PPIF,No
18,IDO1,Yes
19,TACR1,Yes
20,HTR2B,Yes
21,NR1I2,Yes
22,ALOX5,Yes
23,CA2,Yes
24,CHRM1,Yes
25,SQLE,Yes
26,NR1I3,Yes
27,CACNA1G,Yes
28,MAPK10,Yes
29,CA6,Yes
30,HDAC2,Yes
31,IFNB1,No
32,HSD11B2,Yes
33,CA13,Yes
34,BHMT,Yes
35,C1S,Yes
36,CYP2C19,Yes
37,C4B,No
38,CSF1R,Yes
39,C5,No
40,CA1,Yes
41,PADI3,Yes
42,HDAC4,Yes
43,GSK3B,Yes
44,EGFR,Yes
45,TYMS,Yes
46,HRH4,Yes
47,BMP2K,Yes
48,CYP1A1,Yes
49,HTR3A,Yes
50,DHFR,Yes
51,EPHB4,Yes
52,CSNK1D,Yes
53,DRD3,Yes
54,AR,Yes
55,NISCH,Yes
56,MAOA,Yes
57,NQO1,Yes
58,DDR1,Yes
59,BRD4,Yes
60,PTGS2,Yes
61,CDC42BPG,Yes
62,CSNK1A1,Yes
63,CYP2C9,Yes
64,ADRA1A,Yes
65,GRIN1,Yes
66,BTK,Yes
67,ADORA1,Yes
68,CHRNA7,Yes
69,MAP3K20,Yes
70,HTR2C,Yes
71,AKR1C2,Yes
72,GRM1,Yes
73,IFNA1,No
74,CES1,Yes
75,SLC12A3,Yes
76,SCN1A,Yes
77,GRM5,Yes
78,HCK,Yes
79,AHCY,Yes
80,PDE3A,Yes
81,GABRA3,Yes
82,BLK,Yes
83,MAPT,Yes
84,LYN,Yes
85,HTR2A,Yes
86,CYP1B1,Yes
87,PDE4D,Yes
88,GRK2,Yes
89,FKBP5,Yes
90,PPARG,Yes
91,RET,Yes
92,PPIB,Yes
93,TIE1,Yes
94,PLG,Yes
95,IRF3,No
96,ADRA2C,Yes
97,ESR2,Yes
98,DRD2,Yes
99,ADRA1B,Yes
100,TSPO,Yes
101,HSD11B1,Yes
102,SERPINA6,No
103,ESRRA,Yes
104,PDGFRB,Yes
105,EPHB2,Yes
106,CACNA1C,Yes
107,RPS6KA6,Yes
108,PTGS1,Yes
109,PDE10A,Yes
110,HDAC8,Yes
111,TOP1,Yes
112,EPHA4,Yes
113,EPHB3,Yes
114,PPARA,Yes
115,TACR2,Yes
116,TDP2,No
117,FGF1,Yes
118,SHBG,Yes
119,SLC6A2,Yes
120,PLK4,Yes
121,PHKG2,Yes
122,ADRA1D,Yes
123,MAPK11,Yes
124,SLC6A4,Yes
125,PDE5A,Yes
126,KIT,Yes
127,KCNH2,Yes
128,TTK,Yes
129,ALDH1A1,Yes
130,NR1H4,Yes
131,CYP11B1,Yes
132,SLC22A12,Yes
133,PIM2,Yes
134,PPAT,Yes
135,PRSS1,Yes
136,CHRM5,Yes
137,COMT,Yes
138,SLC7A11,No
139,PGR,Yes
140,AKR1B1,Yes
